348	351
1089	1092
2495	2502
2900	2906
3737	3739
7154	7162
7635	7644
7913	7924
8544	8552
9095	9101
10140	10152
11257	11268
11832	11839
12554	12563
14044	14053
15211	15225
15537	15547
15903	15909
18269	18276
19489	19497
20180	20196
20615	20618
20682	20689
20751	20761
21163	21165
22657	22671
23189	23198
23894	23898
24137	24151
24822	24827
25488	25491
25696	25707
26088	26096
26770	26779
28841	28844
29185	29189
30725	30737
31090	31100
31719	31727
32805	32809
33032	33037
33422	33428
34475	34483
34740	34756
36165	36179
37153	37162
37413	37420
37734	37741
38759	38760
39725	39732
41295	41302
41554	41562
42008	42012
42091	42095
42302	42315
42911	42919
43116	43128
43224	43230
44733	44743
